Start Time,Average of Latency(ms)
1717638235176,34
1717638235177,37.66666667
1717638235181,35.33333333
1717638235184,35
1717638235186,29
1717638235188,40.5
1717638235192,37.5
1717638235193,28
1717638235196,32
1717638235197,37
1717638235206,42.6
1717638235210,38.66666667
1717638235214,32
1717638235215,34.14285714
1717638235219,33.66666667
1717638235221,52
1717638235222,52
1717638235223,54
1717638235226,54
1717638235233,47
1717638235234,41.5
1717638235246,29.44444444
1717638235248,27.33333333
1717638235250,24
1717638235251,28
1717638235254,33
1717638235256,30
1717638235273,24.2
1717638235274,23.71428571
1717638235277,26.57142857
1717638235280,34.55555556
1717638235286,38
1717638235287,37
1717638235289,27.5
1717638235297,23.33333333
1717638235298,20.57142857
1717638235304,25.33333333
1717638235305,26.5
1717638235313,24.625
1717638235314,23
1717638235315,24
1717638235316,26
1717638235317,22
1717638235324,41.18181818
1717638235325,41
1717638235329,38
1717638235334,33.5
1717638235335,31
1717638235339,35.57142857
1717638235341,35
1717638235342,35
1717638235351,21
1717638235366,25
1717638235369,39.5
1717638235372,35.33333333
1717638235375,30
1717638235377,25.5
1717638235380,44
1717638235382,43
1717638235384,40.33333333
1717638235389,35.5
1717638235392,33.1
1717638235398,27.33333333
1717638235400,36
1717638235402,34
1717638235405,36.4
1717638235406,32
1717638235424,27
1717638235425,27.41666667
1717638235426,30
1717638235436,22
1717638235438,33
1717638235439,32
1717638235442,34
1717638235448,32.71428571
1717638235449,35.2
1717638235456,34.84615385
1717638235459,34
1717638235471,23.5
1717638235476,22
1717638235479,23
1717638235482,23.4
1717638235483,34
1717638235486,31.25
1717638235493,38.16666667
1717638235496,35
1717638235498,37.5
1717638235499,40
1717638235500,31
1717638235502,30
1717638235509,164
1717638235515,159
1717638235518,155.3333333
1717638235525,149
1717638235531,149.1428571
1717638235532,149.25
1717638235539,143
1717638235673,31.8
1717638235674,30.5
1717638235681,25
1717638235682,26.07692308
1717638235704,20.9
1717638235705,21.14285714
1717638235706,26
1717638235707,28
1717638235708,28
1717638235709,25.5
1717638235710,22
1717638235711,27
1717638235723,32
1717638235724,27.71428571
1717638235725,23
1717638235726,33
1717638235729,35
1717638235732,31.14285714
1717638235736,39
1717638235738,24
1717638235739,39
1717638235746,25.25
1717638235747,19
